wo_number,asset_tag,opened_on,closed_on,raw_description,actions_taken,downtime_hours
WO-2020-2018,P-1102,2020-01-01,2020-01-04,Vibration traced to shaft misalignment across the coupling; laser alignment carried out and readings brought within tolerance.,Laser alignment carried out; within tolerance.,9.0
WO-2020-2021,P-2202,2020-01-01,2020-01-02,Packing leak noted. Action: adjust gland. Status: monitor.,Renewed packing rings.,5.1
WO-2020-2047,A-2120,2020-01-07,2020-01-08,"Bearing check: noise Y, temp 76C, vib high. Recommend replace.",Renewed bearings; realigned.,10.1
WO-2020-2007,P-3401,2020-01-16,2020-01-20,"brg noisy DE side, temp 78C, vib high",Replaced DE/NDE bearings.,6.7
WO-2020-2051,C-4110,2020-01-18,2020-01-21,Vibration survey: overall high. Root cause: not isolated. Action: monitor and trend.,Logged vibration; continued trending.,1.1
WO-2020-2050,A-3110,2020-02-04,2020-02-05,"grease contam'd, relubed brgs, oil grade wrong earlier",Re-lubricated bearings; sample sent.,1.2
WO-2020-2048,A-3110,2020-02-09,2020-02-13,"brg NDE rumbling, vib 6.2 mm/s, plan replace",Renewed bearings; realigned.,6.1
WO-2020-2068,TK-3201,2020-02-19,2020-02-20,"External and internal shell corrosion observed on tank during inspection; plate thickness reducing, coating and patch repair planned.",Recoated affected area.,23.0
WO-2020-2073,TK-4202,2020-02-27,2020-02-28,"wall thin, corrosion, UT low, patch",Patch-repaired thinned section.,18.7
WO-2020-2035,M-2201,2020-03-01,2020-03-01,"megger low, earth fault, motor out",Dried out windings; IR restored.,19.1
WO-2020-2020,P-2201,2020-03-02,2020-03-03,"brg NDE rumbling, vib 6.2 mm/s, plan replace",Replaced DE/NDE bearings.,9.7
WO-2020-2039,M-4101,2020-03-06,2020-03-06,"Lube check: level low, colour dark. Action: drain and refill correct grade.",Re-lubricated bearings; sample sent.,1.8
WO-2020-2062,CV-2101,2020-03-08,2020-03-12,"gauge reading off vs field, recalibrated",Bench-calibrated and reinstalled.,1.6
WO-2020-2012,P-3402,2020-03-20,2020-03-23,"grease contam'd, relubed brgs, oil grade wrong earlier",Drained and refilled correct grade lube.,2.1
WO-2020-2043,E-3110,2020-03-20,2020-03-21,"hx dP high, outlet temp up, tubes fouled",Hydrojetted tubes; duty restored.,8.4
WO-2020-2061,CV-2101,2020-03-20,2020-03-21,"topped up oil, wiped down, running fine",Routine work completed.,1.8
WO-2020-2010,P-3402,2020-04-04,2020-04-07,"chk'd flush plan, line partially blocked, strainer dirty",Backflushed flush line; strainer cleaned.,5.3
WO-2020-2034,M-1101,2020-04-05,2020-04-06,"Motor bearing check: DE ok, NDE noisy. Action: replace NDE bearing.",Replaced motor bearings.,9.9
WO-2020-2030,M-3105,2020-04-07,2020-04-09,"motor tripped on OL, winding hot, smell",Cleaned motor cooling path; monitored winding temp.,6.2
WO-2020-2054,C-4110,2020-04-07,2020-04-10,"Motor tripped on thermal overload; winding temperature elevated, phase currents checked for imbalance.",Cleaned motor cooling path; monitored winding temp.,16.6
WO-2020-2053,C-4110,2020-04-08,2020-04-08,Preventive maintenance carried out per schedule; equipment found in satisfactory condition.,Closed after inspection.,1.5
WO-2020-2029,M-3402,2020-04-10,2020-04-11,checked pump running normal no issue closed wo,Closed after inspection.,3.8
WO-2020-2072,TK-4202,2020-04-11,2020-04-14,attended complaint found nothing wrong equipment ok,Closed after inspection.,3.1
WO-2020-2017,P-1102,2020-04-14,2020-04-17,"routine pm done, greased, checked, all ok",Routine work completed.,3.1
WO-2020-2028,M-3401,2020-04-16,2020-04-17,Vibration survey: overall high. Root cause: not isolated. Action: monitor and trend.,Monitoring; further diagnosis planned.,3.5
WO-2020-2041,E-2110,2020-04-17,2020-04-21,"tube leak on hx, hydrotest, plugged 2 tubes",Plugged leaking tube(s).,21.7
WO-2020-2065,CV-3201,2020-04-17,2020-04-20,"cv passing when shut, seat eroded",Replaced valve trim.,6.1
WO-2020-2019,P-2201,2020-04-18,2020-04-19,"pump crackling, flow swinging, suction low",Cleared suction restriction; verified NPSH.,7.3
WO-2020-2069,TK-3201,2020-04-20,2020-04-21,"tank shell corroded, roof rusty, coat",Patch-plated corroded section.,20.9
WO-2020-2046,E-4110,2020-05-03,2020-05-06,"routine pm done, greased, checked, all ok",Routine work completed.,1.6
WO-2020-2032,M-3105,2020-05-12,2020-05-14,"oil dark, water in oil, changed",Re-lubricated bearings; sample sent.,5.0
WO-2020-2040,E-1110,2020-05-14,2020-05-15,"Wall thinning found on casing/piping from corrosion-erosion during inspection; UT readings logged, repair planned.",Patch-repaired thinned section.,9.3
WO-2020-2058,C-4210,2020-05-20,2020-05-21,"Lube check: level low, colour dark. Action: drain and refill correct grade.",Drained and refilled correct grade lube.,2.0
WO-2020-2055,C-4110,2020-06-04,2020-06-07,"Joint leak noted. Action: replace gasket, bolt-up to torque.",Renewed joint; leak-tested.,5.5
WO-2020-2067,TK-1201,2020-06-04,2020-06-04,"flange weeping, gasket blown, replaced",Renewed joint; leak-tested.,4.4
WO-2020-2074,TK-4203,2020-06-10,2020-06-12,"Joint leak noted. Action: replace gasket, bolt-up to torque.",Replaced gasket; bolted to torque.,2.9
WO-2020-2004,P-3401,2020-06-11,2020-06-15,"pump crackling, flow swinging, suction low",Cleared suction restriction; verified NPSH.,2.8
WO-2020-2006,P-3401,2020-06-12,2020-06-12,"Drive-end bearing exhibiting elevated noise and vibration on routine survey; wear suspected, replacement planned.",Replaced DE/NDE bearings.,7.4
WO-2020-2009,P-3402,2020-06-18,2020-06-18,attended complaint found nothing wrong equipment ok,Closed after inspection.,0.6
WO-2020-2014,P-3105,2020-06-18,2020-06-18,"head dropping slow, impeller worn, wear rings gone",Renewed impeller; clearances reset.,14.9
WO-2020-2045,E-3210,2020-06-23,2020-06-26,"cleaned area, tightened fittings, ok",Closed after inspection.,1.7
WO-2020-2071,TK-4201,2020-07-03,2020-07-07,Preventive maintenance carried out per schedule; equipment found in satisfactory condition.,Closed after inspection.,0.0
WO-2020-2022,P-2202,2020-07-07,2020-07-09,Packing leak noted. Action: adjust gland. Status: monitor.,Renewed packing rings.,2.9
WO-2020-2000,P-3401,2020-07-26,2020-07-27,"Seal flush flow found restricted; flushing line and orifice cleaned, flush pressure restored to spec.",Backflushed flush line; strainer cleaned.,6.4
WO-2020-2059,C-4210,2020-08-07,2020-08-07,"overall vib high 7 mm/s, cause tbd, monitoring",Logged vibration; continued trending.,1.6
WO-2020-2038,M-4101,2020-08-08,2020-08-08,motor making noise bearing on non drive end bad replaced both bearings,Replaced motor bearings.,13.1
WO-2020-2066,CV-3201,2020-08-11,2020-08-12,control valve not closing tight passing across seat debris found lapped seat,Replaced valve trim.,4.9
WO-2020-2036,M-3301,2020-08-19,2020-08-20,"IR low <1Mohm, earth fault, motor isolated",Dried out windings; IR restored.,19.1
WO-2020-2027,P-4101,2020-08-20,2020-08-24,vibration high did alignment it was out fixed with shims runs smooth now,Laser alignment carried out; within tolerance.,7.6
WO-2020-2042,E-2110,2020-09-25,2020-09-27,"wall thin, corrosion, UT low, patch",Logged UT; scheduled repair.,8.5
WO-2020-2037,M-3301,2020-09-28,2020-09-29,motor making noise bearing on non drive end bad replaced both bearings,Replaced motor bearings.,13.0
WO-2020-2033,M-2210,2020-10-11,2020-10-15,"Lube check: level low, colour dark. Action: drain and refill correct grade.",Drained and refilled correct grade lube.,4.5
WO-2020-2001,P-3401,2020-10-18,2020-10-21,vibration high did alignment it was out fixed with shims runs smooth now,Shimmed and realigned coupling.,6.8
WO-2020-2049,A-3110,2020-10-18,2020-10-21,"brg NDE rumbling, vib 6.2 mm/s, plan replace",Renewed bearings; realigned.,6.6
WO-2020-2031,M-3105,2020-10-21,2020-10-22,"motor tripped on OL, winding hot, smell",Checked load and phase balance; cooled and restarted.,12.8
WO-2020-2056,C-4120,2020-10-27,2020-10-28,"mtr o/heat, tripped OL relay, wdg temp high",Checked load and phase balance; cooled and restarted.,7.0
WO-2020-2016,P-3105,2020-10-28,2020-10-31,"oil dark, water in oil, changed",Drained and refilled correct grade lube.,3.6
WO-2020-2060,CV-1101,2020-10-30,2020-11-03,Control valve stem observed sticking with loop hunting; packing adjusted and stem freed.,Adjusted packing; freed stem.,2.9
WO-2020-2015,P-3105,2020-11-02,2020-11-03,"Bearing check: noise Y, temp 76C, vib high. Recommend replace.",Renewed bearings; realigned.,10.4
WO-2020-2008,P-3402,2020-11-06,2020-11-07,vibration high did alignment it was out fixed with shims runs smooth now,Shimmed and realigned coupling.,8.3
WO-2020-2013,P-3105,2020-11-12,2020-11-12,"oil dark, water in oil, changed",Drained and refilled correct grade lube.,4.7
WO-2020-2044,E-3110,2020-11-14,2020-11-16,"tube leak on hx, hydrotest, plugged 2 tubes",Plugged leaking tube(s).,16.0
WO-2020-2023,P-3301,2020-11-22,2020-11-26,"Bearing check: noise Y, temp 76C, vib high. Recommend replace.",Replaced DE/NDE bearings.,4.6
WO-2020-2011,P-3402,2020-11-27,2020-11-29,Pump showing cavitation symptoms — gravel-like noise and unstable flow; suction conditions investigated.,Adjusted operation to restore suction.,2.5
WO-2020-2003,P-3401,2020-12-01,2020-12-01,"flush line choked, flow low, cleaned orifice",Cleaned flush line and orifice; restored flush flow.,6.3
WO-2020-2063,CV-2101,2020-12-01,2020-12-04,Valve check: passing closed. Cause: seat erosion. Action: lap/replace trim.,Lapped valve seat; leak-tested.,6.4
WO-2020-2052,C-4110,2020-12-14,2020-12-17,"overall vib high 7 mm/s, cause tbd, monitoring",Monitoring; further diagnosis planned.,2.9
WO-2020-2064,CV-2101,2020-12-18,2020-12-20,"cv stem sticky, positioner hunting, freed up",Adjusted packing; freed stem.,5.5
WO-2020-2005,P-3401,2020-12-25,2020-12-29,Pump showing cavitation symptoms — gravel-like noise and unstable flow; suction conditions investigated.,Adjusted operation to restore suction.,2.0
WO-2020-2002,P-3401,2020-12-26,2020-12-29,"flush line choked, flow low, cleaned orifice",Backflushed flush line; strainer cleaned.,3.3
WO-2020-2024,P-4101,2020-12-27,2020-12-31,Flexible coupling element found failed causing loss of drive; element and bolts renewed.,Replaced coupling spacer.,7.2
WO-2020-2025,P-4101,2020-12-28,2020-12-31,"align'mnt off ~0.4mm, laser done, corrected shims",Shimmed and realigned coupling.,5.7
WO-2020-2026,P-4101,2020-12-29,2021-01-01,"topped up oil, wiped down, running fine",Closed after inspection.,2.4
WO-2020-2070,TK-4201,2020-12-29,2021-01-01,"flange weeping, gasket blown, replaced",Replaced gasket; bolted to torque.,2.5
WO-2020-2057,C-4120,2020-12-30,2020-12-30,"brg noisy DE side, temp 78C, vib high",Replaced DE/NDE bearings.,7.9
WO-2021-2029,P-4101,2021-01-05,2021-01-09,"Observed process fluid leakage at the mechanical seal during rounds; seal faces suspected worn, leak rate increasing.",Renewed seal faces; leak stopped after run-in.,11.2
WO-2021-2040,E-1110,2021-01-08,2021-01-11,"hx dP high, outlet temp up, tubes fouled",Hydrojetted tubes; duty restored.,8.0
WO-2021-2059,C-4120,2021-01-10,2021-01-12,"motor tripped on OL, winding hot, smell",Checked load and phase balance; cooled and restarted.,19.8
WO-2021-2041,E-2110,2021-01-18,2021-01-22,"exch fouled, poor duty, chem clean scheduled",Chemical-cleaned tube side.,7.2
WO-2021-2013,P-2210,2021-01-20,2021-01-24,"Bearing check: noise Y, temp 76C, vib high. Recommend replace.",Renewed bearings; realigned.,4.1
WO-2021-2027,P-4101,2021-02-01,2021-02-05,Packing leak noted. Action: adjust gland. Status: monitor.,Renewed packing rings.,3.1
WO-2021-2028,P-4101,2021-02-02,2021-02-06,"high vib, coupling checked, alignment out",Shimmed and realigned coupling.,9.5
WO-2021-2045,E-3210,2021-02-05,2021-02-05,"tube leak on hx, hydrotest, plugged 2 tubes",Plugged leaking tube(s).,21.1
WO-2021-2017,P-1102,2021-02-08,2021-02-10,"pump crackling, flow swinging, suction low",Adjusted operation to restore suction.,7.9
WO-2021-2056,C-4110,2021-02-09,2021-02-11,Quarterly check: readings normal. Action: none.,Routine work completed.,1.0
WO-2021-2001,P-3401,2021-02-10,2021-02-13,Preventive maintenance carried out per schedule; equipment found in satisfactory condition.,Routine work completed.,1.7
WO-2021-2071,TK-4201,2021-02-28,2021-03-01,"tank shell corroded, roof rusty, coat",Patch-plated corroded section.,39.1
WO-2021-2035,M-2201,2021-03-04,2021-03-05,Insulation resistance found low with earth fault indication; motor isolated and sent for rewind assessment.,Isolated motor; sent for rewind.,11.7
WO-2021-2021,P-2202,2021-03-09,2021-03-10,vibration high did alignment it was out fixed with shims runs smooth now,Laser alignment carried out; within tolerance.,5.1
WO-2021-2038,E-1110,2021-03-14,2021-03-14,"exch fouled, poor duty, chem clean scheduled",Chemical-cleaned tube side.,7.0
WO-2021-2006,P-3105,2021-03-18,2021-03-19,"align'mnt off ~0.4mm, laser done, corrected shims",Shimmed and realigned coupling.,7.3
WO-2021-2051,A-2110,2021-03-23,2021-03-23,Vibration traced to shaft misalignment across the coupling; laser alignment carried out and readings brought within tolerance.,Shimmed and realigned coupling.,8.9
WO-2021-2050,A-2110,2021-03-26,2021-03-27,"routine pm done, greased, checked, all ok",Routine work completed.,1.6
WO-2021-2063,C-4210,2021-03-27,2021-03-30,"oil dark, water in oil, changed",Drained and refilled correct grade lube.,3.4
WO-2021-2043,E-3110,2021-03-29,2021-03-29,"wall thin, corrosion, UT low, patch",Logged UT; scheduled repair.,17.6
WO-2021-2053,A-2110,2021-04-03,2021-04-04,"Bearing check: noise Y, temp 76C, vib high. Recommend replace.",Replaced DE/NDE bearings.,7.1
WO-2021-2037,M-4101,2021-04-04,2021-04-05,"megger low, earth fault, motor out",Dried out windings; IR restored.,20.6
WO-2021-2008,P-3105,2021-04-07,2021-04-08,"cavitation noise, NPSH low, throttled disch",Adjusted operation to restore suction.,6.5
WO-2021-2011,P-2210,2021-04-08,2021-04-12,vibration high did alignment it was out fixed with shims runs smooth now,Shimmed and realigned coupling.,9.0
WO-2021-2069,CV-4101,2021-04-09,2021-04-09,"valve sticking, hunting, packing tight",Serviced positioner; stroked valve.,3.5
WO-2021-2020,P-2202,2021-04-11,2021-04-15,vibration high did alignment it was out fixed with shims runs smooth now,Laser alignment carried out; within tolerance.,6.7
WO-2021-2024,P-3301,2021-04-17,2021-04-21,Strainer check: high dP. Action: clean suction strainer.,Removed and cleaned strainer element.,1.8
WO-2021-2036,M-3301,2021-04-19,2021-04-22,"IR low <1Mohm, earth fault, motor isolated",Dried out windings; IR restored.,19.3
WO-2021-2016,P-1102,2021-04-21,2021-04-24,Pump showing cavitation symptoms — gravel-like noise and unstable flow; suction conditions investigated.,Cleared suction restriction; verified NPSH.,4.7
WO-2021-2030,P-4101,2021-04-22,2021-04-25,"suction strainer choked, flow low, cleaned",Cleaned suction strainer.,2.5
WO-2021-2065,CV-1101,2021-04-24,2021-04-28,"gen'l inspection, nothing abnormal, cont' running",Closed after inspection.,2.5
WO-2021-2049,E-4110,2021-04-26,2021-04-26,"flange weeping, gasket blown, replaced",Renewed joint; leak-tested.,2.6
WO-2021-2015,P-1101,2021-04-28,2021-04-30,"Bearing check: noise Y, temp 76C, vib high. Recommend replace.",Replaced DE/NDE bearings.,8.7
WO-2021-2034,M-1101,2021-05-05,2021-05-06,"Motor bearing check: DE ok, NDE noisy. Action: replace NDE bearing.",Replaced motor bearings.,18.0
WO-2021-2073,TK-4203,2021-05-05,2021-05-09,"flange weeping, gasket blown, replaced",Renewed joint; leak-tested.,3.7
WO-2021-2046,E-3210,2021-05-14,2021-05-18,"Joint leak noted. Action: replace gasket, bolt-up to torque.",Renewed joint; leak-tested.,4.2
WO-2021-2058,C-4110,2021-05-15,2021-05-19,"Drive-end bearing exhibiting elevated noise and vibration on routine survey; wear suspected, replacement planned.",Replaced DE/NDE bearings.,10.2
WO-2021-2014,P-1101,2021-05-16,2021-05-20,"painting + housekeeping around unit, no defect",No corrective action required.,3.4
WO-2021-2018,P-1102,2021-05-16,2021-05-17,pump flow dropping suction strainer full of muck cleaned it out,Removed and cleaned strainer element.,1.4
WO-2021-2007,P-3105,2021-05-22,2021-05-22,"coupling element torn, no drive, replaced spacer",Renewed coupling element and bolts.,7.0
WO-2021-2070,TK-3201,2021-05-23,2021-05-23,"External and internal shell corrosion observed on tank during inspection; plate thickness reducing, coating and patch repair planned.",Recoated affected area.,26.8
WO-2021-2068,CV-4101,2021-05-30,2021-06-02,"cv stem sticky, positioner hunting, freed up",Adjusted packing; freed stem.,5.8
WO-2021-2000,P-3401,2021-06-11,2021-06-13,"brg NDE rumbling, vib 6.2 mm/s, plan replace",Renewed bearings; realigned.,4.7
WO-2021-2022,P-2202,2021-06-12,2021-06-14,"Observed process fluid leakage at the mechanical seal during rounds; seal faces suspected worn, leak rate increasing.",Replaced mechanical seal cartridge; verified flush.,8.4
WO-2021-2044,E-3110,2021-06-16,2021-06-19,"cleaned area, tightened fittings, ok",No corrective action required.,0.7
WO-2021-2048,E-4110,2021-06-21,2021-06-25,Preventive maintenance carried out per schedule; equipment found in satisfactory condition.,Closed after inspection.,1.1
WO-2021-2019,P-2201,2021-06-23,2021-06-23,"suction strainer choked, flow low, cleaned",Removed and cleaned strainer element.,2.8
WO-2021-2031,M-3402,2021-07-08,2021-07-11,"grease contam'd, relubed brgs, oil grade wrong earlier",Re-lubricated bearings; sample sent.,3.5
WO-2021-2060,C-4120,2021-07-10,2021-07-13,"cleaned area, tightened fittings, ok",Routine work completed.,3.9
WO-2021-2033,M-2210,2021-07-17,2021-07-18,"motor NDE brg noisy, vib on motor side",Renewed NDE bearing; greased.,12.8
WO-2021-2010,P-3105,2021-07-18,2021-07-22,"grease contam'd, relubed brgs, oil grade wrong earlier",Drained and refilled correct grade lube.,2.1
WO-2021-2023,P-3301,2021-07-19,2021-07-21,"pump crackling, flow swinging, suction low",Adjusted operation to restore suction.,7.6
WO-2021-2072,TK-4201,2021-08-08,2021-08-12,"xmtr drift ~3%, recal done, tag ok now",Bench-calibrated and reinstalled.,2.2
WO-2021-0453,P-3401,2021-08-10,2021-08-11,"flush line to seal choked, cleaned strainer, flush plan not confirmed against OEM",Cleaned seal flush line and strainer; flush flow restored. Flush plan to be verified against OEM spec.,6.0
WO-2021-2062,C-4210,2021-08-20,2021-08-23,"Bearing check: noise Y, temp 76C, vib high. Recommend replace.",Renewed bearings; realigned.,7.8
WO-2021-2025,P-3301,2021-08-23,2021-08-26,"coupling element torn, no drive, replaced spacer",Replaced coupling spacer.,3.3
WO-2021-2057,C-4110,2021-10-03,2021-10-04,"joint leak at bonnet, new gasket, torqued",Replaced gasket; bolted to torque.,2.8
WO-2021-2005,P-3402,2021-10-08,2021-10-09,"brg noisy DE side, temp 78C, vib high",Renewed bearings; realigned.,9.5
WO-2021-2055,A-3120,2021-10-10,2021-10-14,"brg noisy DE side, temp 78C, vib high",Replaced DE/NDE bearings.,7.7
WO-2021-2066,CV-1101,2021-10-18,2021-10-21,"valve sticking, hunting, packing tight",Serviced positioner; stroked valve.,2.8
WO-2021-2032,M-3402,2021-10-19,2021-10-22,"megger low, earth fault, motor out",Dried out windings; IR restored.,8.1
WO-2021-2047,E-4110,2021-10-23,2021-10-26,"Wall thinning found on casing/piping from corrosion-erosion during inspection; UT readings logged, repair planned.",Patch-repaired thinned section.,13.9
WO-2021-2039,E-1110,2021-10-25,2021-10-27,"Cross-contamination detected across the exchanger; hydro test identified a leaking tube, tube plugged.",Hydro-tested and plugged affected tubes.,21.7
WO-2021-2012,P-2210,2021-11-04,2021-11-06,"brg NDE rumbling, vib 6.2 mm/s, plan replace",Replaced DE/NDE bearings.,11.5
WO-2021-2003,P-3401,2021-11-11,2021-11-15,"high vib, coupling checked, alignment out",Shimmed and realigned coupling.,7.3
WO-2021-2042,E-2110,2021-11-18,2021-11-22,"exch fouled, poor duty, chem clean scheduled",Chemical-cleaned tube side.,8.9
WO-2021-2026,P-3301,2021-11-29,2021-11-29,vibration high did alignment it was out fixed with shims runs smooth now,Shimmed and realigned coupling.,8.3
WO-2021-2004,P-3401,2021-12-12,2021-12-15,"flush line choked, flow low, cleaned orifice",Backflushed flush line; strainer cleaned.,7.2
WO-2021-2052,A-2110,2021-12-19,2021-12-21,"Drive-end bearing exhibiting elevated noise and vibration on routine survey; wear suspected, replacement planned.",Replaced DE/NDE bearings.,8.2
WO-2021-2054,A-3110,2021-12-20,2021-12-23,"mech seal weeping DE side, drops on baseplate, temp 71C",Replaced mechanical seal cartridge; verified flush.,9.8
WO-2021-2067,CV-3101,2021-12-22,2021-12-25,"cv stem sticky, positioner hunting, freed up",Adjusted packing; freed stem.,4.0
WO-2021-2061,C-4120,2021-12-23,2021-12-24,"joint leak at bonnet, new gasket, torqued",Renewed joint; leak-tested.,4.7
WO-2021-2002,P-3401,2021-12-27,2021-12-28,Vibration traced to shaft misalignment across the coupling; laser alignment carried out and readings brought within tolerance.,Shimmed and realigned coupling.,9.6
WO-2021-2009,P-3105,2021-12-29,2022-01-02,"coupling element torn, no drive, replaced spacer",Renewed coupling element and bolts.,6.2
WO-2021-2064,C-4210,2021-12-31,2021-12-31,"Bearing check: noise Y, temp 76C, vib high. Recommend replace.",Replaced DE/NDE bearings.,9.0
WO-2022-2007,P-3402,2022-01-01,2022-01-04,"routine pm done, greased, checked, all ok",No corrective action required.,0.2
WO-2022-2014,P-3105,2022-01-01,2022-01-04,Performance check: head low. Impeller vanes eroded. Action: replace impeller.,Renewed impeller; clearances reset.,14.2
WO-2022-2054,A-2120,2022-01-02,2022-01-04,"Drive-end bearing exhibiting elevated noise and vibration on routine survey; wear suspected, replacement planned.",Replaced DE/NDE bearings.,8.9
WO-2022-2017,P-2210,2022-01-08,2022-01-09,vibration high did alignment it was out fixed with shims runs smooth now,Shimmed and realigned coupling.,8.7
WO-2022-2026,P-2201,2022-01-13,2022-01-15,"suction strainer choked, flow low, cleaned",Cleaned suction strainer.,2.9
WO-2022-2002,P-3402,2022-01-17,2022-01-18,coupling gone rubber element broken pump not turning fitted new one,Renewed coupling element and bolts.,7.3
WO-2022-2067,TK-1201,2022-01-18,2022-01-22,"Tank inspection: shell corrosion, roof pitting. Action: recoat/patch.",Patch-plated corroded section.,15.8
WO-2022-2058,C-4210,2022-01-22,2022-01-22,"Lube check: level low, colour dark. Action: drain and refill correct grade.",Drained and refilled correct grade lube.,3.8
WO-2022-2006,P-3402,2022-01-25,2022-01-26,"cavitation noise, NPSH low, throttled disch",Cleared suction restriction; verified NPSH.,3.6
WO-2022-2060,CV-1101,2022-01-29,2022-01-29,Control valve stem observed sticking with loop hunting; packing adjusted and stem freed.,Serviced positioner; stroked valve.,4.5
WO-2022-2001,P-3401,2022-01-31,2022-02-04,"grease contam'd, relubed brgs, oil grade wrong earlier",Drained and refilled correct grade lube.,1.8
WO-2022-2023,P-1101,2022-02-08,2022-02-09,"cavitation noise, NPSH low, throttled disch",Cleared suction restriction; verified NPSH.,4.0
WO-2022-2051,A-2120,2022-02-08,2022-02-08,attended complaint found nothing wrong equipment ok,Routine work completed.,3.1
WO-2022-2032,M-3401,2022-02-14,2022-02-15,"IR low <1Mohm, earth fault, motor isolated",Isolated motor; sent for rewind.,11.8
WO-2022-2040,M-3301,2022-02-15,2022-02-16,"vib elevated, no clear cause yet, trending",Logged vibration; continued trending.,3.2
WO-2022-2044,E-3110,2022-02-16,2022-02-18,"Cross-contamination detected across the exchanger; hydro test identified a leaking tube, tube plugged.",Plugged leaking tube(s).,14.6
WO-2022-2069,TK-1201,2022-03-05,2022-03-07,"External and internal shell corrosion observed on tank during inspection; plate thickness reducing, coating and patch repair planned.",Recoated affected area.,30.9
WO-2022-2031,P-4101,2022-03-13,2022-03-14,Vibration traced to shaft misalignment across the coupling; laser alignment carried out and readings brought within tolerance.,Laser alignment carried out; within tolerance.,4.9
WO-2022-2053,A-2120,2022-03-29,2022-04-02,"cleaned area, tightened fittings, ok",Routine work completed.,2.6
