wo_number,asset_tag,opened_on,closed_on,raw_description,actions_taken,downtime_hours
WO-2022-2071,TK-3201,2022-04-01,2022-04-05,"gauge reading off vs field, recalibrated",Bench-calibrated and reinstalled.,1.4
WO-2022-2022,P-1101,2022-04-07,2022-04-11,attended complaint found nothing wrong equipment ok,Routine work completed.,1.3
WO-2022-2055,A-3110,2022-04-12,2022-04-12,"Drive-end bearing exhibiting elevated noise and vibration on routine survey; wear suspected, replacement planned.",Renewed bearings; realigned.,9.2
WO-2022-2041,E-1110,2022-04-23,2022-04-24,"hx dP high, outlet temp up, tubes fouled",Hydrojetted tubes; duty restored.,5.9
WO-2022-2012,P-3402,2022-04-25,2022-04-27,"grease contam'd, relubed brgs, oil grade wrong earlier",Re-lubricated bearings; sample sent.,4.3
WO-2022-2016,P-2210,2022-04-26,2022-04-28,"Drive-end bearing exhibiting elevated noise and vibration on routine survey; wear suspected, replacement planned.",Replaced DE/NDE bearings.,9.6
WO-2022-2011,P-3402,2022-05-03,2022-05-06,"Bearing check: noise Y, temp 76C, vib high. Recommend replace.",Renewed bearings; realigned.,8.7
WO-2022-2000,P-3401,2022-05-17,2022-05-21,Vibration traced to shaft misalignment across the coupling; laser alignment carried out and readings brought within tolerance.,Laser alignment carried out; within tolerance.,7.9
WO-2022-2027,P-2202,2022-05-21,2022-05-21,"gland packing dripping, tightened, still weeping slight",Adjusted gland follower.,3.7
WO-2022-2035,M-3105,2022-06-01,2022-06-01,"megger low, earth fault, motor out",Dried out windings; IR restored.,10.8
WO-2022-2042,E-1110,2022-06-13,2022-06-13,"Cross-contamination detected across the exchanger; hydro test identified a leaking tube, tube plugged.",Plugged leaking tube(s).,16.4
WO-2022-2018,P-2210,2022-06-14,2022-06-16,"head dropping slow, impeller worn, wear rings gone",Replaced worn impeller and wear rings.,14.3
WO-2022-2043,E-1110,2022-06-15,2022-06-16,"Exchanger approach temperature rising with increased pressure drop; tube-side fouling suspected, cleaning planned.",Chemical-cleaned tube side.,11.6
WO-2022-2046,E-3210,2022-06-15,2022-06-15,attended complaint found nothing wrong equipment ok,Routine work completed.,3.8
WO-2022-2066,TK-1201,2022-06-16,2022-06-20,"joint leak at bonnet, new gasket, torqued",Renewed joint; leak-tested.,3.2
WO-2022-2070,TK-3201,2022-06-16,2022-06-18,"painting + housekeeping around unit, no defect",Closed after inspection.,0.7
WO-2022-2050,A-2110,2022-06-17,2022-06-18,seal leaking again same pump product on floor faces look scored need cartridge,Renewed seal faces; leak stopped after run-in.,17.7
WO-2022-2005,P-3402,2022-06-18,2022-06-21,"head dropping slow, impeller worn, wear rings gone",Replaced worn impeller and wear rings.,7.5
WO-2022-2020,P-2210,2022-06-30,2022-07-02,"chk'd flush plan, line partially blocked, strainer dirty",Backflushed flush line; strainer cleaned.,5.0
WO-2022-2028,P-3301,2022-06-30,2022-07-02,"suction strainer choked, flow low, cleaned",Cleaned suction strainer.,2.7
WO-2022-2036,M-3105,2022-07-03,2022-07-03,"Lube check: level low, colour dark. Action: drain and refill correct grade.",Drained and refilled correct grade lube.,2.7
WO-2022-2063,CV-3101,2022-07-05,2022-07-06,"xmtr drift ~3%, recal done, tag ok now",Bench-calibrated and reinstalled.,2.8
WO-2022-2025,P-2201,2022-07-06,2022-07-07,Flexible coupling element found failed causing loss of drive; element and bolts renewed.,Replaced coupling spacer.,7.9
WO-2022-2049,A-2110,2022-07-12,2022-07-15,"Lube check: level low, colour dark. Action: drain and refill correct grade.",Drained and refilled correct grade lube.,1.6
WO-2022-2052,A-2120,2022-07-17,2022-07-19,"coupling element torn, no drive, replaced spacer",Renewed coupling element and bolts.,6.7
WO-2022-2064,CV-4101,2022-07-17,2022-07-19,"gauge reading off vs field, recalibrated",Recalibrated instrument.,1.2
WO-2022-2008,P-3402,2022-07-22,2022-07-24,"align'mnt off ~0.4mm, laser done, corrected shims",Laser alignment carried out; within tolerance.,7.7
WO-2022-2010,P-3402,2022-07-24,2022-07-26,Flexible coupling element found failed causing loss of drive; element and bolts renewed.,Renewed coupling element and bolts.,4.9
WO-2022-2057,C-4110,2022-07-28,2022-07-28,"Lube check: level low, colour dark. Action: drain and refill correct grade.",Re-lubricated bearings; sample sent.,3.1
WO-2022-2073,TK-4202,2022-08-02,2022-08-05,"topped up oil, wiped down, running fine",Routine work completed.,0.8
WO-2022-2062,CV-3101,2022-08-03,2022-08-03,Transmitter reading deviating from field reference; instrument recalibrated to true value.,Recalibrated instrument.,1.3
WO-2022-2074,TK-4202,2022-08-07,2022-08-08,Quarterly check: readings normal. Action: none.,Routine work completed.,1.7
WO-2022-2033,M-3402,2022-08-13,2022-08-16,"motor NDE brg noisy, vib on motor side",Replaced motor bearings.,11.9
WO-2022-2021,P-2210,2022-08-14,2022-08-18,checked pump running normal no issue closed wo,Closed after inspection.,3.0
WO-2022-2034,M-3402,2022-09-08,2022-09-09,"oil dark, water in oil, changed",Re-lubricated bearings; sample sent.,4.5
WO-2022-2003,P-3402,2022-09-10,2022-09-10,vibration high did alignment it was out fixed with shims runs smooth now,Laser alignment carried out; within tolerance.,4.6
WO-2022-2072,TK-3201,2022-09-12,2022-09-15,"Scheduled PM: lubrication, general check. No abnormality found.",Closed after inspection.,0.5
WO-2022-2068,TK-1201,2022-09-25,2022-09-28,"External and internal shell corrosion observed on tank during inspection; plate thickness reducing, coating and patch repair planned.",Patch-plated corroded section.,30.4
WO-2022-2045,E-3210,2022-09-30,2022-10-02,"exch fouled, poor duty, chem clean scheduled",Chemical-cleaned tube side.,9.7
WO-2022-2024,P-1101,2022-10-12,2022-10-12,Pump showing cavitation symptoms — gravel-like noise and unstable flow; suction conditions investigated.,Cleared suction restriction; verified NPSH.,2.8
WO-2022-2037,M-3105,2022-10-14,2022-10-15,"IR low <1Mohm, earth fault, motor isolated",Isolated motor; sent for rewind.,18.1
WO-2022-2030,P-4101,2022-10-19,2022-10-20,"suction strainer choked, flow low, cleaned",Removed and cleaned strainer element.,1.1
WO-2022-2047,E-3210,2022-10-21,2022-10-23,"tube leak on hx, hydrotest, plugged 2 tubes",Plugged leaking tube(s).,26.9
WO-2022-2013,P-3105,2022-10-23,2022-10-24,checked pump running normal no issue closed wo,No corrective action required.,2.2
WO-2022-2015,P-3105,2022-10-30,2022-11-02,"brg NDE rumbling, vib 6.2 mm/s, plan replace",Renewed bearings; realigned.,4.4
WO-2022-0731,P-1102,2022-11-05,2022-11-05,"gland slight seepage noted during round, monitoring, flush temp a bit high",Seepage logged; seal monitored. Flush temperature to be watched.,2.0
WO-2022-2065,CV-4101,2022-11-14,2022-11-17,"cv stem sticky, positioner hunting, freed up",Adjusted packing; freed stem.,2.0
WO-2022-2019,P-2210,2022-11-16,2022-11-16,"impeller worn, clearances open, perf down",Renewed impeller; clearances reset.,11.0
WO-2022-2061,CV-2101,2022-11-16,2022-11-17,"cv stem sticky, positioner hunting, freed up",Serviced positioner; stroked valve.,3.2
WO-2022-2048,E-3210,2022-11-19,2022-11-22,"Wall thinning found on casing/piping from corrosion-erosion during inspection; UT readings logged, repair planned.",Logged UT; scheduled repair.,15.4
WO-2022-2004,P-3402,2022-11-20,2022-11-21,"oil dark, water in oil, changed",Drained and refilled correct grade lube.,2.7
WO-2022-2039,M-3301,2022-11-21,2022-11-21,"motor NDE brg noisy, vib on motor side",Replaced motor bearings.,16.6
WO-2022-2009,P-3402,2022-11-29,2022-11-30,"pump crackling, flow swinging, suction low",Adjusted operation to restore suction.,3.3
WO-2022-2056,A-3120,2022-12-07,2022-12-10,"brg noisy DE side, temp 78C, vib high",Renewed bearings; realigned.,7.4
WO-2022-2029,P-4101,2022-12-09,2022-12-13,"align'mnt off ~0.4mm, laser done, corrected shims",Shimmed and realigned coupling.,6.4
WO-2022-2059,CV-1101,2022-12-09,2022-12-11,"valve sticking, hunting, packing tight",Serviced positioner; stroked valve.,4.2
WO-2022-2038,M-2210,2022-12-18,2022-12-19,"megger low, earth fault, motor out",Isolated motor; sent for rewind.,13.2
WO-2023-2056,E-3210,2023-01-01,2023-01-02,"tube leak on hx, hydrotest, plugged 2 tubes",Plugged leaking tube(s).,27.9
WO-2023-2001,P-3401,2023-01-11,2023-01-13,"flush line choked, flow low, cleaned orifice",Backflushed flush line; strainer cleaned.,3.5
WO-2023-2027,P-2201,2023-01-12,2023-01-15,"Observed process fluid leakage at the mechanical seal during rounds; seal faces suspected worn, leak rate increasing.",Renewed seal faces; leak stopped after run-in.,16.2
WO-2023-2041,M-2210,2023-01-16,2023-01-17,"IR low <1Mohm, earth fault, motor isolated",Dried out windings; IR restored.,11.7
WO-2023-2009,P-3402,2023-01-21,2023-01-21,Quarterly check: readings normal. Action: none.,Routine work completed.,2.2
WO-2023-2057,E-4110,2023-01-25,2023-01-25,"exch fouled, poor duty, chem clean scheduled",Hydrojetted tubes; duty restored.,11.5
WO-2023-2050,M-4101,2023-01-30,2023-02-01,Insulation resistance found low with earth fault indication; motor isolated and sent for rewind assessment.,Dried out windings; IR restored.,11.6
WO-2023-2032,P-4101,2023-01-31,2023-02-01,"high vib, coupling checked, alignment out",Laser alignment carried out; within tolerance.,5.0
WO-2023-2016,P-3105,2023-02-20,2023-02-24,"Bearing check: noise Y, temp 76C, vib high. Recommend replace.",Replaced DE/NDE bearings.,9.5
WO-2023-2036,M-3402,2023-02-21,2023-02-24,"cleaned area, tightened fittings, ok",Routine work completed.,3.7
WO-2023-2003,P-3401,2023-02-27,2023-02-27,Vibration traced to shaft misalignment across the coupling; laser alignment carried out and readings brought within tolerance.,Laser alignment carried out; within tolerance.,9.3
WO-2023-2071,CV-1101,2023-02-28,2023-03-03,"cv passing when shut, seat eroded",Lapped valve seat; leak-tested.,7.8
WO-2023-2062,A-3120,2023-03-03,2023-03-06,"coupling element torn, no drive, replaced spacer",Renewed coupling element and bolts.,5.3
WO-2023-2052,E-1110,2023-03-08,2023-03-09,"tube leak on hx, hydrotest, plugged 2 tubes",Hydro-tested and plugged affected tubes.,13.4
WO-2023-2086,TK-4203,2023-03-08,2023-03-09,"External and internal shell corrosion observed on tank during inspection; plate thickness reducing, coating and patch repair planned.",Patch-plated corroded section.,33.7
WO-2023-2014,P-3105,2023-03-13,2023-03-15,"flush line choked, flow low, cleaned orifice",Backflushed flush line; strainer cleaned.,6.4
WO-2023-2042,M-1101,2023-03-14,2023-03-14,"oil dark, water in oil, changed",Re-lubricated bearings; sample sent.,4.0
WO-2023-2074,CV-2101,2023-03-18,2023-03-19,Valve check: passing closed. Cause: seat erosion. Action: lap/replace trim.,Lapped valve seat; leak-tested.,7.1
WO-2023-2029,P-2202,2023-03-20,2023-03-24,Vibration traced to shaft misalignment across the coupling; laser alignment carried out and readings brought within tolerance.,Laser alignment carried out; within tolerance.,4.0
WO-2023-2020,P-1101,2023-04-02,2023-04-02,vibration high did alignment it was out fixed with shims runs smooth now,Shimmed and realigned coupling.,4.7
WO-2023-2072,CV-1101,2023-04-02,2023-04-02,"gauge reading off vs field, recalibrated",Bench-calibrated and reinstalled.,2.9
WO-2023-2028,P-2202,2023-04-07,2023-04-08,Pump showing cavitation symptoms — gravel-like noise and unstable flow; suction conditions investigated.,Cleared suction restriction; verified NPSH.,7.9
WO-2023-2079,TK-1201,2023-04-18,2023-04-20,"External and internal shell corrosion observed on tank during inspection; plate thickness reducing, coating and patch repair planned.",Recoated affected area.,38.1
WO-2023-2007,P-3402,2023-04-21,2023-04-22,"Bearing check: noise Y, temp 76C, vib high. Recommend replace.",Replaced DE/NDE bearings.,5.7
WO-2023-2010,P-3105,2023-04-23,2023-04-27,"Lube check: level low, colour dark. Action: drain and refill correct grade.",Re-lubricated bearings; sample sent.,1.9
WO-2023-2019,P-2210,2023-04-24,2023-04-28,"brg noisy DE side, temp 78C, vib high",Replaced DE/NDE bearings.,10.5
WO-2023-2067,C-4210,2023-05-01,2023-05-04,"Lube check: level low, colour dark. Action: drain and refill correct grade.",Drained and refilled correct grade lube.,2.0
WO-2023-2055,E-3110,2023-05-08,2023-05-11,"Exchanger approach temperature rising with increased pressure drop; tube-side fouling suspected, cleaning planned.",Chemical-cleaned tube side.,5.6
WO-2023-2059,A-2110,2023-05-10,2023-05-11,Preventive maintenance carried out per schedule; equipment found in satisfactory condition.,Routine work completed.,1.1
WO-2023-2066,C-4120,2023-05-10,2023-05-10,"vib elevated, no clear cause yet, trending",Logged vibration; continued trending.,3.5
WO-2023-2015,P-3105,2023-05-13,2023-05-14,checked pump running normal no issue closed wo,Closed after inspection.,1.3
WO-2023-2012,P-3105,2023-05-14,2023-05-16,"oil dark, water in oil, changed",Re-lubricated bearings; sample sent.,3.0
WO-2023-2013,P-3105,2023-05-17,2023-05-18,"cleaned area, tightened fittings, ok",No corrective action required.,3.8
WO-2023-2065,C-4120,2023-05-17,2023-05-19,"routine pm done, greased, checked, all ok",No corrective action required.,3.7
WO-2023-2083,TK-4201,2023-05-17,2023-05-19,checked pump running normal no issue closed wo,No corrective action required.,2.0
WO-2023-2060,A-2120,2023-05-19,2023-05-20,coupling gone rubber element broken pump not turning fitted new one,Renewed coupling element and bolts.,7.8
WO-2023-2048,M-3301,2023-05-21,2023-05-22,"motor NDE brg noisy, vib on motor side",Replaced motor bearings.,17.0
WO-2023-2076,CV-3101,2023-05-22,2023-05-26,Preventive maintenance carried out per schedule; equipment found in satisfactory condition.,Routine work completed.,3.1
WO-2023-2064,C-4110,2023-05-26,2023-05-26,Vibration survey: overall high. Root cause: not isolated. Action: monitor and trend.,Monitoring; further diagnosis planned.,3.1
WO-2023-2045,M-2201,2023-05-27,2023-05-29,"Motor bearing check: DE ok, NDE noisy. Action: replace NDE bearing.",Replaced motor bearings.,13.1
WO-2023-2021,P-1102,2023-05-28,2023-06-01,"Bearing check: noise Y, temp 76C, vib high. Recommend replace.",Replaced DE/NDE bearings.,5.9
WO-2023-2077,CV-3201,2023-06-06,2023-06-09,Transmitter reading deviating from field reference; instrument recalibrated to true value.,Recalibrated instrument.,1.7
WO-2023-2004,P-3402,2023-06-07,2023-06-11,"grease contam'd, relubed brgs, oil grade wrong earlier",Drained and refilled correct grade lube.,3.8
WO-2023-2078,CV-4101,2023-06-07,2023-06-08,"valve sticking, hunting, packing tight",Serviced positioner; stroked valve.,2.2
WO-2023-2039,M-3105,2023-06-10,2023-06-11,"Motor bearing check: DE ok, NDE noisy. Action: replace NDE bearing.",Replaced motor bearings.,9.6
WO-2023-2002,P-3401,2023-06-16,2023-06-16,"grease contam'd, relubed brgs, oil grade wrong earlier",Drained and refilled correct grade lube.,3.9
WO-2023-2033,P-4101,2023-06-16,2023-06-16,"brg noisy DE side, temp 78C, vib high",Replaced DE/NDE bearings.,5.8
WO-2023-2080,TK-1201,2023-06-22,2023-06-24,"External and internal shell corrosion observed on tank during inspection; plate thickness reducing, coating and patch repair planned.",Recoated affected area.,28.9
WO-2023-2087,TK-4203,2023-06-25,2023-06-29,"External and internal shell corrosion observed on tank during inspection; plate thickness reducing, coating and patch repair planned.",Recoated affected area.,24.5
WO-2023-2070,C-4210,2023-07-01,2023-07-03,"Lube check: level low, colour dark. Action: drain and refill correct grade.",Re-lubricated bearings; sample sent.,4.3
WO-2023-2006,P-3402,2023-07-02,2023-07-06,"Lube check: level low, colour dark. Action: drain and refill correct grade.",Re-lubricated bearings; sample sent.,1.9
WO-2023-2049,M-4101,2023-07-02,2023-07-06,"motor NDE brg noisy, vib on motor side",Replaced motor bearings.,16.4
WO-2023-2018,P-2210,2023-07-04,2023-07-06,"flush line choked, flow low, cleaned orifice",Backflushed flush line; strainer cleaned.,4.2
WO-2023-2008,P-3402,2023-07-05,2023-07-05,"grease contam'd, relubed brgs, oil grade wrong earlier",Re-lubricated bearings; sample sent.,4.6
WO-2023-2081,TK-3201,2023-07-20,2023-07-20,"Tank inspection: shell corrosion, roof pitting. Action: recoat/patch.",Recoated affected area.,39.4
WO-2023-2017,P-2210,2023-08-07,2023-08-09,"cavitation noise, NPSH low, throttled disch",Adjusted operation to restore suction.,6.0
WO-2023-2031,P-4101,2023-08-11,2023-08-15,"seal leak'g at gland, prod'ct dripping outboard, flush temp high",Renewed seal faces; leak stopped after run-in.,14.9
WO-2023-2058,A-2110,2023-08-16,2023-08-18,vibration high did alignment it was out fixed with shims runs smooth now,Shimmed and realigned coupling.,5.5
WO-2023-2047,M-2201,2023-08-26,2023-08-28,"motor NDE brg noisy, vib on motor side",Replaced motor bearings.,11.0
WO-2023-2073,CV-2101,2023-09-02,2023-09-04,"cv stem sticky, positioner hunting, freed up",Adjusted packing; freed stem.,4.2
WO-2023-2084,TK-4202,2023-09-03,2023-09-04,"tank shell corroded, roof rusty, coat",Recoated affected area.,24.0
WO-2023-2075,CV-3101,2023-09-08,2023-09-11,Transmitter reading deviating from field reference; instrument recalibrated to true value.,Bench-calibrated and reinstalled.,1.9
WO-2023-2025,P-2201,2023-09-10,2023-09-10,Pump showing cavitation symptoms — gravel-like noise and unstable flow; suction conditions investigated.,Adjusted operation to restore suction.,2.1
WO-2023-2035,M-3401,2023-09-11,2023-09-14,"overall vib high 7 mm/s, cause tbd, monitoring",Monitoring; further diagnosis planned.,3.6
WO-2023-0518,P-3105,2023-09-14,2023-09-15,"seal flush pressure low, flush plan Y running, not per OEM plan 11",Flush pressure investigated; found running non-standard flush plan Y. Restored flush; OEM plan deviation flagged.,4.0
WO-2023-2022,P-1102,2023-09-15,2023-09-15,Flexible coupling element found failed causing loss of drive; element and bolts renewed.,Replaced coupling spacer.,8.1
WO-2023-2037,M-3402,2023-09-15,2023-09-16,"mtr o/heat, tripped OL relay, wdg temp high",Cleaned motor cooling path; monitored winding temp.,7.6
WO-2023-2051,E-1110,2023-09-22,2023-09-22,"hx dP high, outlet temp up, tubes fouled",Chemical-cleaned tube side.,4.2
WO-2023-2082,TK-4201,2023-09-24,2023-09-26,"Tank inspection: shell corrosion, roof pitting. Action: recoat/patch.",Recoated affected area.,17.9
WO-2023-2061,A-3110,2023-09-26,2023-09-29,"oil dark, water in oil, changed",Drained and refilled correct grade lube.,4.2
WO-2023-2038,M-3105,2023-09-27,2023-09-30,"motor NDE brg noisy, vib on motor side",Renewed NDE bearing; greased.,10.3
WO-2023-2023,P-1102,2023-10-03,2023-10-07,"Scheduled PM: lubrication, general check. No abnormality found.",No corrective action required.,1.8
WO-2023-2000,P-3401,2023-10-06,2023-10-08,"brg NDE rumbling, vib 6.2 mm/s, plan replace",Renewed bearings; realigned.,6.5
WO-2023-2043,M-1101,2023-10-10,2023-10-14,"Motor tripped on thermal overload; winding temperature elevated, phase currents checked for imbalance.",Checked load and phase balance; cooled and restarted.,13.9
WO-2023-2026,P-2201,2023-10-13,2023-10-13,"Drive-end bearing exhibiting elevated noise and vibration on routine survey; wear suspected, replacement planned.",Renewed bearings; realigned.,8.2
WO-2023-2069,C-4210,2023-10-13,2023-10-17,"joint leak at bonnet, new gasket, torqued",Renewed joint; leak-tested.,3.5
WO-2023-2011,P-3105,2023-10-16,2023-10-19,Flexible coupling element found failed causing loss of drive; element and bolts renewed.,Replaced coupling spacer.,4.6
WO-2023-2054,E-2110,2023-10-27,2023-10-29,metal thinning bad corrosion on pump casing ut readings low needs repair,Logged UT; scheduled repair.,14.4
WO-2023-2024,P-2201,2023-11-03,2023-11-06,seal leaking again same pump product on floor faces look scored need cartridge,Renewed seal faces; leak stopped after run-in.,12.1
WO-2023-2053,E-2110,2023-11-13,2023-11-13,"Exchanger approach temperature rising with increased pressure drop; tube-side fouling suspected, cleaning planned.",Hydrojetted tubes; duty restored.,4.2
WO-2023-2040,M-2210,2023-11-20,2023-11-23,"Motor tripped on thermal overload; winding temperature elevated, phase currents checked for imbalance.",Cleaned motor cooling path; monitored winding temp.,19.9
WO-2023-2085,TK-4203,2023-11-27,2023-12-01,"tank shell corroded, roof rusty, coat",Recoated affected area.,9.3
WO-2023-2005,P-3402,2023-12-11,2023-12-11,"Lube check: level low, colour dark. Action: drain and refill correct grade.",Drained and refilled correct grade lube.,1.2
WO-2023-2030,P-3301,2023-12-13,2023-12-15,"Observed process fluid leakage at the mechanical seal during rounds; seal faces suspected worn, leak rate increasing.",Renewed seal faces; leak stopped after run-in.,15.9
WO-2023-2046,M-2201,2023-12-16,2023-12-16,"IR low <1Mohm, earth fault, motor isolated",Dried out windings; IR restored.,9.8
WO-2023-2044,M-1101,2023-12-21,2023-12-22,"oil dark, water in oil, changed",Drained and refilled correct grade lube.,1.5
WO-2023-2063,A-3120,2023-12-26,2023-12-27,"brg noisy DE side, temp 78C, vib high",Replaced DE/NDE bearings.,11.6
WO-2023-2068,C-4210,2023-12-26,2023-12-28,"painting + housekeeping around unit, no defect",Closed after inspection.,3.7
WO-2023-2034,M-3401,2023-12-27,2023-12-28,"motor tripped on OL, winding hot, smell",Checked load and phase balance; cooled and restarted.,11.2
WO-2024-2013,P-1101,2024-01-11,2024-01-14,"mech seal weeping DE side, drops on baseplate, temp 71C",Replaced mechanical seal cartridge; verified flush.,16.8
WO-2024-2036,E-3210,2024-01-12,2024-01-15,"flange weeping, gasket blown, replaced",Replaced gasket; bolted to torque.,5.8
WO-2024-2052,CV-3101,2024-01-15,2024-01-17,"painting + housekeeping around unit, no defect",No corrective action required.,2.2
WO-2024-2008,P-2210,2024-01-16,2024-01-19,"cavitation noise, NPSH low, throttled disch",Cleared suction restriction; verified NPSH.,3.7
WO-2024-2034,E-3110,2024-01-26,2024-01-30,metal thinning bad corrosion on pump casing ut readings low needs repair,Logged UT; scheduled repair.,10.5
WO-2024-2002,P-3401,2024-02-01,2024-02-03,"chk'd flush plan, line partially blocked, strainer dirty",Cleaned flush line and orifice; restored flush flow.,4.2
WO-2024-2015,P-2201,2024-02-10,2024-02-12,Pump showing cavitation symptoms — gravel-like noise and unstable flow; suction conditions investigated.,Adjusted operation to restore suction.,7.9
WO-2024-2012,P-1101,2024-02-14,2024-02-18,Flexible coupling element found failed causing loss of drive; element and bolts renewed.,Replaced coupling spacer.,8.8
WO-2024-2039,A-2120,2024-02-26,2024-02-27,"align'mnt off ~0.4mm, laser done, corrected shims",Laser alignment carried out; within tolerance.,8.5
WO-2024-0117,P-3401,2024-03-04,2024-03-05,"seal weeping at gland, drips increasing on outboard side",Replaced mechanical seal cartridge. Flush line checked.,14.0
WO-2024-2044,A-3120,2024-03-15,2024-03-16,"grease contam'd, relubed brgs, oil grade wrong earlier",Re-lubricated bearings; sample sent.,4.0
WO-2024-2009,P-2210,2024-03-26,2024-03-28,"Lube check: level low, colour dark. Action: drain and refill correct grade.",Drained and refilled correct grade lube.,1.6
WO-2024-2041,A-2120,2024-03-28,2024-03-28,Flexible coupling element found failed causing loss of drive; element and bolts renewed.,Replaced coupling spacer.,8.3
WO-2024-2043,A-3110,2024-03-28,2024-03-28,"Scheduled PM: lubrication, general check. No abnormality found.",Routine work completed.,2.4
WO-2024-2028,M-2201,2024-03-31,2024-04-01,"grease contam'd, relubed brgs, oil grade wrong earlier",Drained and refilled correct grade lube.,2.8
WO-2024-2007,P-2210,2024-04-08,2024-04-09,"grease contam'd, relubed brgs, oil grade wrong earlier",Re-lubricated bearings; sample sent.,2.0
WO-2024-2026,M-2210,2024-04-08,2024-04-09,"Motor bearing check: DE ok, NDE noisy. Action: replace NDE bearing.",Renewed NDE bearing; greased.,17.3
WO-2024-2053,CV-3101,2024-04-17,2024-04-21,"xmtr drift ~3%, recal done, tag ok now",Bench-calibrated and reinstalled.,2.0
WO-2024-2003,P-3401,2024-04-20,2024-04-21,"pump crackling, flow swinging, suction low",Cleared suction restriction; verified NPSH.,4.8
