wo_number,asset_tag,opened_on,closed_on,raw_description,actions_taken,downtime_hours
WO-2024-2048,C-4110,2024-04-30,2024-05-04,"oil dark, water in oil, changed",Re-lubricated bearings; sample sent.,2.3
WO-2024-2056,CV-3201,2024-05-02,2024-05-05,Transmitter reading deviating from field reference; instrument recalibrated to true value.,Bench-calibrated and reinstalled.,1.6
WO-2024-2018,P-2202,2024-05-08,2024-05-10,seal leaking again same pump product on floor faces look scored need cartridge,Replaced mechanical seal cartridge; verified flush.,15.9
WO-2024-2061,TK-3201,2024-05-14,2024-05-16,"xmtr drift ~3%, recal done, tag ok now",Recalibrated instrument.,1.9
WO-2024-2029,M-2201,2024-05-22,2024-05-24,"Lube check: level low, colour dark. Action: drain and refill correct grade.",Drained and refilled correct grade lube.,4.6
WO-2024-2062,TK-3201,2024-06-01,2024-06-03,"xmtr drift ~3%, recal done, tag ok now",Recalibrated instrument.,2.3
WO-2024-2021,P-4101,2024-06-11,2024-06-11,"gland packing dripping, tightened, still weeping slight",Adjusted gland follower.,5.4
WO-2024-2024,M-3402,2024-06-15,2024-06-17,"megger low, earth fault, motor out",Isolated motor; sent for rewind.,18.6
WO-2024-2045,A-3120,2024-06-20,2024-06-21,"grease contam'd, relubed brgs, oil grade wrong earlier",Re-lubricated bearings; sample sent.,4.7
WO-2024-2042,A-3110,2024-06-25,2024-06-27,Vibration traced to shaft misalignment across the coupling; laser alignment carried out and readings brought within tolerance.,Laser alignment carried out; within tolerance.,4.1
WO-2024-2004,P-3105,2024-07-07,2024-07-09,"Lube check: level low, colour dark. Action: drain and refill correct grade.",Re-lubricated bearings; sample sent.,4.1
WO-2024-2023,M-3401,2024-07-15,2024-07-18,"Motor tripped on thermal overload; winding temperature elevated, phase currents checked for imbalance.",Cleaned motor cooling path; monitored winding temp.,19.6
WO-2024-2027,M-1101,2024-07-15,2024-07-16,"mtr o/heat, tripped OL relay, wdg temp high",Cleaned motor cooling path; monitored winding temp.,9.3
WO-2024-2051,CV-3101,2024-07-15,2024-07-15,"joint leak at bonnet, new gasket, torqued",Replaced gasket; bolted to torque.,2.2
WO-2024-0662,P-2210,2024-07-20,2024-07-21,"high vibration DE, coupling checked, laser alignment out 0.4mm corrected",Laser alignment carried out; misalignment corrected with shims. Vibration normal after.,8.0
WO-2024-2035,E-3110,2024-07-21,2024-07-23,Quarterly check: readings normal. Action: none.,No corrective action required.,2.8
WO-2024-2049,C-4120,2024-07-23,2024-07-25,"oil dark, water in oil, changed",Drained and refilled correct grade lube.,4.3
WO-2024-2060,TK-3201,2024-07-30,2024-08-02,"Joint leak noted. Action: replace gasket, bolt-up to torque.",Replaced gasket; bolted to torque.,4.6
WO-2024-2010,P-2210,2024-08-02,2024-08-06,"impeller worn, clearances open, perf down",Renewed impeller; clearances reset.,13.4
WO-2024-2040,A-2120,2024-08-05,2024-08-07,"Drive-end bearing exhibiting elevated noise and vibration on routine survey; wear suspected, replacement planned.",Renewed bearings; realigned.,5.3
WO-2024-2016,P-2201,2024-08-14,2024-08-15,"brg NDE rumbling, vib 6.2 mm/s, plan replace",Renewed bearings; realigned.,7.3
WO-2024-2001,P-3401,2024-08-19,2024-08-21,"flush line choked, flow low, cleaned orifice",Cleaned flush line and orifice; restored flush flow.,6.4
WO-2024-2030,M-4101,2024-08-23,2024-08-23,"mtr o/heat, tripped OL relay, wdg temp high",Checked load and phase balance; cooled and restarted.,17.6
WO-2024-2058,CV-4101,2024-08-23,2024-08-25,"cv passing when shut, seat eroded",Lapped valve seat; leak-tested.,7.3
WO-2024-2017,P-2201,2024-08-30,2024-09-03,"mech seal weeping DE side, drops on baseplate, temp 71C",Replaced mechanical seal cartridge; verified flush.,13.3
WO-2024-2031,E-1110,2024-09-07,2024-09-11,"hx dP high, outlet temp up, tubes fouled",Hydrojetted tubes; duty restored.,6.1
WO-2024-2025,M-2210,2024-09-14,2024-09-15,"Motor bearing check: DE ok, NDE noisy. Action: replace NDE bearing.",Replaced motor bearings.,13.0
WO-2024-2065,TK-4203,2024-10-06,2024-10-07,attended complaint found nothing wrong equipment ok,No corrective action required.,3.9
WO-2024-2055,CV-3201,2024-10-11,2024-10-13,control valve not closing tight passing across seat debris found lapped seat,Lapped valve seat; leak-tested.,6.8
WO-2024-2050,CV-2101,2024-10-12,2024-10-15,"valve sticking, hunting, packing tight",Adjusted packing; freed stem.,5.7
WO-2024-2037,E-4110,2024-10-16,2024-10-19,"joint leak at bonnet, new gasket, torqued",Renewed joint; leak-tested.,3.6
WO-2024-2047,C-4110,2024-10-16,2024-10-18,"mtr o/heat, tripped OL relay, wdg temp high",Checked load and phase balance; cooled and restarted.,19.3
WO-2024-2005,P-3105,2024-10-18,2024-10-18,Pump showing cavitation symptoms — gravel-like noise and unstable flow; suction conditions investigated.,Cleared suction restriction; verified NPSH.,6.0
WO-2024-2054,CV-3101,2024-10-24,2024-10-25,Preventive maintenance carried out per schedule; equipment found in satisfactory condition.,No corrective action required.,0.7
WO-2024-2000,P-3401,2024-10-28,2024-10-28,"oil dark, water in oil, changed",Re-lubricated bearings; sample sent.,2.0
WO-2024-2033,E-3110,2024-10-28,2024-11-01,"Cross-contamination detected across the exchanger; hydro test identified a leaking tube, tube plugged.",Hydro-tested and plugged affected tubes.,17.7
WO-2024-2032,E-2110,2024-11-05,2024-11-08,"joint leak at bonnet, new gasket, torqued",Renewed joint; leak-tested.,6.0
WO-2024-2063,TK-4201,2024-11-14,2024-11-17,"Joint leak noted. Action: replace gasket, bolt-up to torque.",Replaced gasket; bolted to torque.,4.0
WO-2024-2064,TK-4201,2024-11-15,2024-11-15,"flange weeping, gasket blown, replaced",Renewed joint; leak-tested.,2.4
WO-2024-2038,A-2110,2024-11-18,2024-11-18,"high vib, coupling checked, alignment out",Shimmed and realigned coupling.,6.0
WO-2024-2014,P-1102,2024-11-28,2024-12-01,"brg noisy DE side, temp 78C, vib high",Replaced DE/NDE bearings.,5.6
WO-2024-2022,M-3401,2024-12-03,2024-12-05,"IR low <1Mohm, earth fault, motor isolated",Isolated motor; sent for rewind.,15.7
WO-2024-2059,TK-1201,2024-12-03,2024-12-04,"painting + housekeeping around unit, no defect",Routine work completed.,1.0
WO-2024-2019,P-3301,2024-12-08,2024-12-09,Strainer check: high dP. Action: clean suction strainer.,Cleaned suction strainer.,3.9
WO-2024-2020,P-3301,2024-12-19,2024-12-21,"Drive-end bearing exhibiting elevated noise and vibration on routine survey; wear suspected, replacement planned.",Replaced DE/NDE bearings.,8.3
WO-2024-2057,CV-3201,2024-12-19,2024-12-21,"valve sticking, hunting, packing tight",Serviced positioner; stroked valve.,4.3
WO-2024-2006,P-2210,2024-12-23,2024-12-27,"align'mnt off ~0.4mm, laser done, corrected shims",Laser alignment carried out; within tolerance.,7.9
WO-2024-2011,P-2210,2024-12-23,2024-12-26,attended complaint found nothing wrong equipment ok,Routine work completed.,3.1
WO-2024-2046,A-3120,2024-12-26,2024-12-28,"seal leak'g at gland, prod'ct dripping outboard, flush temp high",Renewed seal faces; leak stopped after run-in.,12.4
WO-2025-2055,A-3110,2025-01-03,2025-01-05,"cleaned area, tightened fittings, ok",Closed after inspection.,4.0
WO-2025-2000,P-3401,2025-01-04,2025-01-07,"cleaned area, tightened fittings, ok",Routine work completed.,1.0
WO-2025-2064,C-4120,2025-01-07,2025-01-09,"brg NDE rumbling, vib 6.2 mm/s, plan replace",Replaced DE/NDE bearings.,8.9
WO-2025-2009,P-2210,2025-01-09,2025-01-11,"Seal flush flow found restricted; flushing line and orifice cleaned, flush pressure restored to spec.",Backflushed flush line; strainer cleaned.,4.6
WO-2025-2048,E-4110,2025-01-13,2025-01-15,"Scheduled PM: lubrication, general check. No abnormality found.",Routine work completed.,0.5
WO-2025-2006,P-3105,2025-01-20,2025-01-23,"chk'd flush plan, line partially blocked, strainer dirty",Backflushed flush line; strainer cleaned.,5.1
WO-2025-2074,TK-4203,2025-01-31,2025-02-03,"Joint leak noted. Action: replace gasket, bolt-up to torque.",Renewed joint; leak-tested.,4.5
WO-2025-2022,P-3301,2025-02-04,2025-02-07,"pump crackling, flow swinging, suction low",Cleared suction restriction; verified NPSH.,5.0
WO-2025-2068,CV-2101,2025-02-06,2025-02-07,"xmtr drift ~3%, recal done, tag ok now",Recalibrated instrument.,2.6
WO-2025-2035,M-4101,2025-02-10,2025-02-12,"mtr o/heat, tripped OL relay, wdg temp high",Checked load and phase balance; cooled and restarted.,10.9
WO-2025-2047,E-4110,2025-02-14,2025-02-16,"Cross-contamination detected across the exchanger; hydro test identified a leaking tube, tube plugged.",Plugged leaking tube(s).,25.4
WO-2025-2072,CV-4101,2025-02-16,2025-02-18,control valve not closing tight passing across seat debris found lapped seat,Lapped valve seat; leak-tested.,3.0
WO-2025-2012,P-2210,2025-02-23,2025-02-23,"cavitation noise, NPSH low, throttled disch",Cleared suction restriction; verified NPSH.,4.9
WO-2025-2063,C-4120,2025-03-03,2025-03-06,"Lube check: level low, colour dark. Action: drain and refill correct grade.",Re-lubricated bearings; sample sent.,2.0
WO-2025-2018,P-1102,2025-03-04,2025-03-07,pump flow dropping suction strainer full of muck cleaned it out,Removed and cleaned strainer element.,1.1
WO-2025-2070,CV-3101,2025-03-09,2025-03-12,control valve not closing tight passing across seat debris found lapped seat,Replaced valve trim.,6.3
WO-2025-2010,P-2210,2025-03-10,2025-03-11,"pump crackling, flow swinging, suction low",Adjusted operation to restore suction.,4.4
WO-2025-2027,M-3105,2025-03-30,2025-04-02,"motor tripped on OL, winding hot, smell",Cleaned motor cooling path; monitored winding temp.,15.8
WO-2025-2038,E-2110,2025-03-30,2025-04-02,"exch fouled, poor duty, chem clean scheduled",Hydrojetted tubes; duty restored.,6.4
WO-2025-2033,M-3301,2025-04-02,2025-04-04,"painting + housekeeping around unit, no defect",Routine work completed.,0.4
WO-2025-2014,P-2210,2025-04-04,2025-04-08,"Drive-end bearing exhibiting elevated noise and vibration on routine survey; wear suspected, replacement planned.",Replaced DE/NDE bearings.,8.2
WO-2025-2020,P-3301,2025-04-04,2025-04-08,"seal leak'g at gland, prod'ct dripping outboard, flush temp high",Replaced mechanical seal cartridge; verified flush.,14.1
WO-2025-2034,M-4101,2025-04-06,2025-04-08,"Motor tripped on thermal overload; winding temperature elevated, phase currents checked for imbalance.",Cleaned motor cooling path; monitored winding temp.,19.7
WO-2025-2011,P-2210,2025-04-07,2025-04-09,"grease contam'd, relubed brgs, oil grade wrong earlier",Drained and refilled correct grade lube.,1.2
WO-2025-2057,A-3110,2025-04-17,2025-04-17,Vibration traced to shaft misalignment across the coupling; laser alignment carried out and readings brought within tolerance.,Shimmed and realigned coupling.,6.7
WO-2025-2040,E-2110,2025-04-25,2025-04-26,"exch fouled, poor duty, chem clean scheduled",Hydrojetted tubes; duty restored.,10.2
WO-2025-2039,E-2110,2025-04-29,2025-05-02,"joint leak at bonnet, new gasket, torqued",Replaced gasket; bolted to torque.,3.6
WO-2025-2071,CV-3201,2025-04-29,2025-04-29,"cv passing when shut, seat eroded",Replaced valve trim.,7.4
WO-2025-2060,C-4110,2025-05-06,2025-05-10,"Lube check: level low, colour dark. Action: drain and refill correct grade.",Re-lubricated bearings; sample sent.,1.3
WO-2025-2051,A-2110,2025-05-11,2025-05-12,"coupling element torn, no drive, replaced spacer",Renewed coupling element and bolts.,4.0
WO-2025-2062,C-4120,2025-05-12,2025-05-15,Quarterly check: readings normal. Action: none.,No corrective action required.,1.8
WO-2025-2032,M-3301,2025-05-29,2025-06-01,"overall vib high 7 mm/s, cause tbd, monitoring",Logged vibration; continued trending.,2.2
WO-2025-2045,E-3210,2025-06-02,2025-06-03,"flange weeping, gasket blown, replaced",Renewed joint; leak-tested.,4.3
WO-2025-2025,M-3401,2025-06-06,2025-06-09,"motor tripped on OL, winding hot, smell",Cleaned motor cooling path; monitored winding temp.,19.7
WO-2025-2069,CV-2101,2025-06-06,2025-06-10,"gauge reading off vs field, recalibrated",Recalibrated instrument.,2.7
WO-2025-0289,P-3105,2025-06-10,2025-06-11,"leakage at gland follower, product on baseplate, seal faces scored",Renewed seal cartridge; faces were scored. Flush plan questioned vs OEM.,16.0
WO-2025-2056,A-3110,2025-06-15,2025-06-17,"high vib, coupling checked, alignment out",Shimmed and realigned coupling.,4.9
WO-2025-2003,P-3105,2025-06-19,2025-06-19,vibration high did alignment it was out fixed with shims runs smooth now,Shimmed and realigned coupling.,4.7
WO-2025-2065,C-4210,2025-06-21,2025-06-22,"Lube check: level low, colour dark. Action: drain and refill correct grade.",Drained and refilled correct grade lube.,3.0
WO-2025-2028,M-3105,2025-06-28,2025-07-01,"motor NDE brg noisy, vib on motor side",Renewed NDE bearing; greased.,13.5
WO-2025-2024,M-3401,2025-07-03,2025-07-04,"mtr o/heat, tripped OL relay, wdg temp high",Checked load and phase balance; cooled and restarted.,16.3
WO-2025-2066,CV-1101,2025-07-03,2025-07-03,"flange weeping, gasket blown, replaced",Replaced gasket; bolted to torque.,5.9
WO-2025-2001,P-3401,2025-07-10,2025-07-10,"brg NDE rumbling, vib 6.2 mm/s, plan replace",Renewed bearings; realigned.,9.6
WO-2025-2019,P-2201,2025-07-10,2025-07-10,pump flow dropping suction strainer full of muck cleaned it out,Cleaned suction strainer.,3.2
WO-2025-2046,E-4110,2025-07-13,2025-07-14,"hx dP high, outlet temp up, tubes fouled",Chemical-cleaned tube side.,9.6
WO-2025-2054,A-2120,2025-07-13,2025-07-14,"high vib, coupling checked, alignment out",Shimmed and realigned coupling.,9.4
WO-2025-2052,A-2110,2025-07-15,2025-07-16,"oil dark, water in oil, changed",Drained and refilled correct grade lube.,3.1
WO-2025-2031,M-2201,2025-07-19,2025-07-23,"mtr o/heat, tripped OL relay, wdg temp high",Cleaned motor cooling path; monitored winding temp.,7.2
WO-2025-2043,E-3110,2025-07-21,2025-07-23,metal thinning bad corrosion on pump casing ut readings low needs repair,Patch-repaired thinned section.,12.3
WO-2025-2067,CV-1101,2025-07-22,2025-07-24,control valve not closing tight passing across seat debris found lapped seat,Replaced valve trim.,5.0
WO-2025-2023,M-3401,2025-08-04,2025-08-06,motor making noise bearing on non drive end bad replaced both bearings,Renewed NDE bearing; greased.,17.7
WO-2025-2061,C-4110,2025-08-04,2025-08-05,"brg NDE rumbling, vib 6.2 mm/s, plan replace",Replaced DE/NDE bearings.,8.8
WO-2025-2050,A-2110,2025-08-06,2025-08-06,seal leaking again same pump product on floor faces look scored need cartridge,Renewed seal faces; leak stopped after run-in.,16.2
WO-2025-2059,A-3120,2025-08-09,2025-08-13,Vibration traced to shaft misalignment across the coupling; laser alignment carried out and readings brought within tolerance.,Laser alignment carried out; within tolerance.,5.2
WO-2025-2030,M-1101,2025-08-21,2025-08-23,"Motor bearing check: DE ok, NDE noisy. Action: replace NDE bearing.",Replaced motor bearings.,17.2
WO-2025-2008,P-2210,2025-08-31,2025-09-01,"align'mnt off ~0.4mm, laser done, corrected shims",Laser alignment carried out; within tolerance.,8.0
WO-2025-2042,E-3110,2025-09-02,2025-09-04,"flange weeping, gasket blown, replaced",Renewed joint; leak-tested.,3.1
WO-2025-2016,P-1101,2025-09-03,2025-09-05,"suction strainer choked, flow low, cleaned",Removed and cleaned strainer element.,2.5
WO-2025-2021,P-3301,2025-09-09,2025-09-09,"mech seal weeping DE side, drops on baseplate, temp 71C",Replaced mechanical seal cartridge; verified flush.,9.1
WO-2025-2017,P-1102,2025-09-10,2025-09-14,"Drive-end bearing exhibiting elevated noise and vibration on routine survey; wear suspected, replacement planned.",Renewed bearings; realigned.,8.5
WO-2025-2004,P-3105,2025-09-21,2025-09-21,"impeller worn, clearances open, perf down",Replaced worn impeller and wear rings.,11.0
WO-2025-2026,M-3402,2025-09-29,2025-10-02,"painting + housekeeping around unit, no defect",No corrective action required.,2.2
WO-2025-2029,M-3105,2025-10-01,2025-10-05,"oil dark, water in oil, changed",Drained and refilled correct grade lube.,4.8
WO-2025-2007,P-3105,2025-10-02,2025-10-05,"Bearing check: noise Y, temp 76C, vib high. Recommend replace.",Renewed bearings; realigned.,4.1
WO-2025-2058,A-3110,2025-10-10,2025-10-11,vibration high did alignment it was out fixed with shims runs smooth now,Shimmed and realigned coupling.,9.3
WO-2025-2041,E-3110,2025-10-28,2025-10-31,metal thinning bad corrosion on pump casing ut readings low needs repair,Patch-repaired thinned section.,7.8
WO-2025-2073,TK-4202,2025-11-15,2025-11-18,"joint leak at bonnet, new gasket, torqued",Renewed joint; leak-tested.,5.3
WO-2025-2053,A-2110,2025-11-23,2025-11-25,"Observed process fluid leakage at the mechanical seal during rounds; seal faces suspected worn, leak rate increasing.",Replaced mechanical seal cartridge; verified flush.,17.5
WO-2025-2049,E-4110,2025-12-05,2025-12-09,"wall thin, corrosion, UT low, patch",Logged UT; scheduled repair.,13.0
WO-2025-2013,P-2210,2025-12-06,2025-12-07,"Drive-end bearing exhibiting elevated noise and vibration on routine survey; wear suspected, replacement planned.",Renewed bearings; realigned.,8.2
WO-2025-2044,E-3110,2025-12-14,2025-12-17,cross contamination found tube leaking on exchanger plugged the tube,Plugged leaking tube(s).,27.1
WO-2025-2002,P-3402,2025-12-21,2025-12-23,"chk'd flush plan, line partially blocked, strainer dirty",Cleaned flush line and orifice; restored flush flow.,7.6
WO-2025-2005,P-3105,2025-12-23,2025-12-25,"Lube check: level low, colour dark. Action: drain and refill correct grade.",Drained and refilled correct grade lube.,3.6
WO-2025-2037,E-1110,2025-12-23,2025-12-23,"flange weeping, gasket blown, replaced",Renewed joint; leak-tested.,4.0
WO-2025-2015,P-1101,2025-12-26,2025-12-28,"coupling element torn, no drive, replaced spacer",Replaced coupling spacer.,6.5
WO-2025-2036,E-1110,2025-12-27,2025-12-30,Quarterly check: readings normal. Action: none.,No corrective action required.,3.9
WO-2026-2002,P-3401,2026-01-03,2026-01-06,"oil dark, water in oil, changed",Re-lubricated bearings; sample sent.,1.3
WO-2026-2008,P-3105,2026-01-10,2026-01-11,"high vib, coupling checked, alignment out",Laser alignment carried out; within tolerance.,9.7
WO-2026-2009,P-3105,2026-01-10,2026-01-12,"flush line choked, flow low, cleaned orifice",Cleaned flush line and orifice; restored flush flow.,7.7
WO-2026-2001,P-3401,2026-01-11,2026-01-12,vibration high did alignment it was out fixed with shims runs smooth now,Laser alignment carried out; within tolerance.,8.6
WO-2026-2029,A-2120,2026-01-13,2026-01-16,"Observed process fluid leakage at the mechanical seal during rounds; seal faces suspected worn, leak rate increasing.",Renewed seal faces; leak stopped after run-in.,9.1
WO-2026-2023,E-1110,2026-01-14,2026-01-18,metal thinning bad corrosion on pump casing ut readings low needs repair,Logged UT; scheduled repair.,18.8
WO-2026-0034,P-3402,2026-01-15,2026-01-16,mech seal gone. replaced cartridge. flush plan Y not per spec,"Replaced cartridge seal. Confirmed flush plan Y in use, not OEM-specified Plan 11.",11.0
WO-2026-2020,M-2201,2026-01-16,2026-01-17,"motor tripped on OL, winding hot, smell",Checked load and phase balance; cooled and restarted.,13.6
WO-2026-2034,CV-3101,2026-01-26,2026-01-28,"gauge reading off vs field, recalibrated",Bench-calibrated and reinstalled.,1.5
WO-2026-2018,M-3401,2026-02-02,2026-02-02,"Motor tripped on thermal overload; winding temperature elevated, phase currents checked for imbalance.",Checked load and phase balance; cooled and restarted.,14.4
WO-2026-2025,E-2110,2026-02-02,2026-02-05,"tube leak on hx, hydrotest, plugged 2 tubes",Plugged leaking tube(s).,18.3
WO-2026-2031,A-2120,2026-02-06,2026-02-06,Preventive maintenance carried out per schedule; equipment found in satisfactory condition.,Routine work completed.,2.1
WO-2026-2013,P-2210,2026-02-09,2026-02-12,Vibration traced to shaft misalignment across the coupling; laser alignment carried out and readings brought within tolerance.,Laser alignment carried out; within tolerance.,4.5
WO-2026-2011,P-2210,2026-02-13,2026-02-16,"brg noisy DE side, temp 78C, vib high",Replaced DE/NDE bearings.,8.2
WO-2026-2033,C-4210,2026-02-17,2026-02-20,"Lube check: level low, colour dark. Action: drain and refill correct grade.",Drained and refilled correct grade lube.,1.5
WO-2026-2005,P-3402,2026-02-20,2026-02-23,"brg NDE rumbling, vib 6.2 mm/s, plan replace",Replaced DE/NDE bearings.,9.1
WO-2026-2019,M-2210,2026-03-02,2026-03-05,"Scheduled PM: lubrication, general check. No abnormality found.",Closed after inspection.,2.2
WO-2026-2038,TK-4201,2026-03-08,2026-03-12,"wall thin, corrosion, UT low, patch",Patch-repaired thinned section.,14.6
WO-2026-2006,P-3402,2026-03-11,2026-03-14,Pump showing cavitation symptoms — gravel-like noise and unstable flow; suction conditions investigated.,Cleared suction restriction; verified NPSH.,3.1
WO-2026-2032,A-3120,2026-03-11,2026-03-11,"mech seal weeping DE side, drops on baseplate, temp 71C",Replaced mechanical seal cartridge; verified flush.,9.8
WO-2026-2024,E-2110,2026-03-16,2026-03-19,cross contamination found tube leaking on exchanger plugged the tube,Hydro-tested and plugged affected tubes.,10.6
WO-2026-2017,P-2202,2026-03-19,2026-03-23,"mech seal weeping DE side, drops on baseplate, temp 71C",Renewed seal faces; leak stopped after run-in.,9.6
WO-2026-2022,M-4101,2026-03-25,2026-03-25,motor making noise bearing on non drive end bad replaced both bearings,Renewed NDE bearing; greased.,15.7
WO-2026-2000,P-3401,2026-03-30,2026-03-30,"Seal flush flow found restricted; flushing line and orifice cleaned, flush pressure restored to spec.",Cleaned flush line and orifice; restored flush flow.,5.9
WO-2026-2039,TK-4202,2026-04-07,2026-04-11,"External and internal shell corrosion observed on tank during inspection; plate thickness reducing, coating and patch repair planned.",Patch-plated corroded section.,26.4
WO-2026-2021,M-4101,2026-04-16,2026-04-20,"mtr o/heat, tripped OL relay, wdg temp high",Cleaned motor cooling path; monitored winding temp.,10.7
WO-2026-2012,P-2210,2026-04-23,2026-04-23,"brg NDE rumbling, vib 6.2 mm/s, plan replace",Replaced DE/NDE bearings.,9.8
WO-2026-2003,P-3402,2026-04-28,2026-04-29,coupling gone rubber element broken pump not turning fitted new one,Renewed coupling element and bolts.,4.3
WO-2026-2037,TK-1201,2026-05-03,2026-05-04,"Wall thinning found on casing/piping from corrosion-erosion during inspection; UT readings logged, repair planned.",Logged UT; scheduled repair.,19.0
WO-2026-2015,P-1102,2026-05-06,2026-05-10,"Drive-end bearing exhibiting elevated noise and vibration on routine survey; wear suspected, replacement planned.",Replaced DE/NDE bearings.,5.3
WO-2026-2016,P-1102,2026-05-08,2026-05-12,"brg NDE rumbling, vib 6.2 mm/s, plan replace",Renewed bearings; realigned.,5.7
WO-2026-2007,P-3402,2026-05-17,2026-05-20,"impeller worn, clearances open, perf down",Renewed impeller; clearances reset.,6.1
WO-2026-2004,P-3402,2026-05-20,2026-05-20,coupling gone rubber element broken pump not turning fitted new one,Renewed coupling element and bolts.,7.9
WO-2026-2026,E-3110,2026-05-27,2026-05-27,"Exchanger approach temperature rising with increased pressure drop; tube-side fouling suspected, cleaning planned.",Hydrojetted tubes; duty restored.,7.9
WO-2026-2014,P-1101,2026-05-29,2026-05-29,Packing leak noted. Action: adjust gland. Status: monitor.,Adjusted gland follower.,4.7
WO-2026-2030,A-2120,2026-06-04,2026-06-08,"Drive-end bearing exhibiting elevated noise and vibration on routine survey; wear suspected, replacement planned.",Replaced DE/NDE bearings.,8.9
WO-2026-2028,A-2110,2026-06-07,2026-06-09,"mech seal weeping DE side, drops on baseplate, temp 71C",Renewed seal faces; leak stopped after run-in.,15.0
WO-2026-2010,P-2210,2026-06-09,2026-06-12,"cavitation noise, NPSH low, throttled disch",Cleared suction restriction; verified NPSH.,3.5
WO-2026-2027,E-3210,2026-06-17,2026-06-18,"Exchanger approach temperature rising with increased pressure drop; tube-side fouling suspected, cleaning planned.",Hydrojetted tubes; duty restored.,9.6
WO-2026-2036,CV-4101,2026-06-22,2026-06-24,Transmitter reading deviating from field reference; instrument recalibrated to true value.,Bench-calibrated and reinstalled.,1.9
WO-2026-2035,CV-3201,2026-06-26,2026-06-30,"cv passing when shut, seat eroded",Lapped valve seat; leak-tested.,7.6
